"AQ,8,1,1,0.001,3,24278,47107,293331.2147574039,35"
"AQ,12,1,1,0.001,3,88238,170155,1065052.9430663069,47"
"AQ,16,1,1,0.001,3,151850,292822,1832864.302121747,51"
"AQ,20,1,1,0.001,3,378074,740454,4574829.721648848,63"
"AQ,24,1,1,0.001,3,560702,1098129,6784693.365388659,67"
"AQ,28,1,1,0.001,3,791390,1549929,9576100.073270526,71"
"AQ,32,1,1,0.001,3,1073342,2102129,12987819.38290392,75"
"AQ,48,1,1,0.001,3,4012442,8076214,48769861.776160605,99"
"AQ,56,1,1,0.001,3,5815734,11705867,70688260.00551674,107"
"AQ,64,1,1,0.001,3,8038718,16180273,97707871.12201203,115"
